architecture,family,sid,budget,clean_observability,capacity,attack_channels,attack_abstention
base,model_defect,cap-base-model_defect-6,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-6,2,0.9999999999117192,0.0,action|authorization,1
base,model_defect,cap-base-model_defect-7,0,0.9999999999117192,0.9999999999117192,,0
base,model_defect,cap-base-model_defect-7,1,0.9999999999117192,0.0,action,1
base,model_defect,cap-base-model_defect-7,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-0,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-0,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-0,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-1,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-1,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-1,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-2,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-2,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-2,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-3,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-3,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-3,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-4,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-4,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-4,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-5,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-5,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-5,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-6,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-6,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-6,2,0.9999999999117192,0.0,action|authorization,1
base,policy_defect,cap-base-policy_defect-7,0,0.9999999999117192,0.9999999999117192,,0
base,policy_defect,cap-base-policy_defect-7,1,0.9999999999117192,0.0,action,1
base,policy_defect,cap-base-policy_defect-7,2,0.9999999999117192,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-0,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-0,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-0,2,0.9999999999117194,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-1,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-1,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-1,2,0.9999999999117194,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-2,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-2,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-2,2,0.9999999999117194,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-3,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-3,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-3,2,0.9999999999117194,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-4,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-4,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-4,2,0.9999999999117194,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-5,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-5,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-5,2,0.9999999999117194,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-6,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-6,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-6,2,0.9999999999117194,0.0,action|authorization,1
base,cloud_defect,cap-base-cloud_defect-7,0,0.9999999999117194,0.9999999999117194,,0
base,cloud_defect,cap-base-cloud_defect-7,1,0.9999999999117194,0.0,action,1
base,cloud_defect,cap-base-cloud_defect-7,2,0.9999999999117194,0.0,action|authorization,1
base,human_override,cap-base-human_override-0,0,0.9999999999117193,0.9999999999117193,,0
base,human_override,cap-base-human_override-0,1,0.9999999999117193,0.0,action,1
base,human_override,cap-base-human_override-0,2,0.9999999999117193,0.0,action|authorization,1
base,human_override,cap-base-human_override-1,0,0.9999999999117193,0.9999999999117193,,0
base,human_override,cap-base-human_override-1,1,0.9999999999117193,0.0,action,1
base,human_override,cap-base-human_override-1,2,0.9999999999117193,0.0,action|authorization,1
base,human_override,cap-base-human_override-2,0,0.9999999999117193,0.9999999999117193,,0
base,human_override,cap-base-human_override-2,1,0.9999999999117193,0.0,action,1
base,human_override,cap-base-human_override-2,2,0.9999999999117193,0.0,action|authorization,1
base,human_override,cap-base-human_override-3,0,0.9999999999117193,0.9999999999117193,,0
base,human_override,cap-base-human_override-3,1,0.9999999999117193,0.0,action,1
