architecture,family,sid,budget,clean_effective_observability,adaptive_capacity,attack_channels,abstention,confidence
base,ignored_warning,adapt-base-ignored_warning-5,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-5,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-6,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-6,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-6,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-6,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-7,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-7,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-7,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-7,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-8,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-8,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-8,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-8,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-9,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-9,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-9,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-9,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-10,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-10,1,0.9999999999117193,0.0,action,1,0.9999999999939997
base,ignored_warning,adapt-base-ignored_warning-10,2,0.9999999999117193,0.0,intervention|warning,1,0.9999999716752733
base,ignored_warning,adapt-base-ignored_warning-10,3,0.9999999999117193,0.0,action|intervention|warning,1,0.9985409365500111
base,ignored_warning,adapt-base-ignored_warning-11,0,0.9999999999117193,0.9999999999117193,,0,0.9999999999939997
